,zip_code,zip_freq
62262,11739,1
62494,11772,65
62495,11951,51
62496,11741,78
62539,11742,19
62553,11763,252
62559,11767,15
62561,11782,20
62584,11967,232
62602,11779,28
62621,11796,2
62748,11980,6
63054,11930,20
63067,11932,21
63076,11901,12
63087,11933,39
63088,11950,25
63124,11934,18
63134,11935,7
63140,11940,13
63150,11941,24
63165,11946,69
63189,11948,50
63219,11977,20
63235,11952,16
63247,11942,50
63278,11955,12
63286,11937,2
63313,11949,66
63347,11963,96
63351,11978,25
63353,11976,36
63362,11959,12
63415,11958,1
63432,11968,1
63457,11964,1
63475,11962,7
63505,11975,3
63565,12054,326
63570,12143,26
63577,12203,2085
63592,12209,1245
63607,12186,28
63623,12208,1620
63638,12413,126
63692,12188,190
63697,12308,103
63698,12866,487
63700,12020,463
63701,12302,525
63706,12304,123
63707,12205,675
63738,12303,106
63739,12307,43
63740,12309,71
63752,12182,1380
63769,12009,226
63815,12010,411
63885,12015,253
64018,12019,31
64086,12022,36
64095,12198,18
64096,12180,3561
64111,12047,94
64127,12189,152
64218,12023,15
64226,12496,51
64232,12305,14
64388,12183,7
64472,12124,25
64837,12144,228
66807,12306,95
66873,12118,87
66951,12170,60
66954,12053,12
67110,12059,21
67188,12148,12
67358,12211,210
67711,12147,3
67734,12451,20
67738,12159,81
67876,12083,529
67929,12158,95
67949,12482,6
68026,12431,161
68049,12077,170
68246,12172,4
68369,12058,10
68521,12473,4
68947,12470,12
69432,12066,8
69434,13459,26
69442,12043,51
69448,12032,5
69451,12197,36
69452,12093,204
69503,12167,95
69524,13753,96
69545,12175,115
69575,12210,855
69590,12204,160
69608,12160,10
69611,13320,8
69617,12149,12
69629,13788,32
69657,12202,810
69672,12206,1710
72134,12526,102
72199,12122,18
72243,12064,3
72334,13750,60
72385,12155,10
72399,12072,9
72400,12137,4
72406,12871,17
72408,12831,254
72427,12443,131
72437,12068,27
72447,12095,265
72457,12070,5
72458,12117,27
72465,12401,5124
72485,12485,11
72486,12850,32
72490,12076,18
72492,12474,14
72496,13339,40
72497,12407,68
72516,12430,23
72518,13428,6
72525,12455,71
72542,13410,3
72549,12434,3
72551,12421,20
72583,12468,43
72618,12078,140
72749,12134,40
72857,13326,115
72860,13807,78
72885,13450,1
72886,13337,19
72918,13361,2
72947,13468,2
72948,13488,4
72950,13439,50
73117,12491,15
73198,12486,10
73199,12481,12
73200,12498,252
73266,12583,32
73360,12463,5
73406,12411,45
73572,12472,28
73634,12449,11
73755,12477,2
74201,12442,70
74337,12466,40
74552,12484,30
74555,12561,8
74586,12436,15
74593,12433,4
74614,12538,268
75014,12574,2
75320,12424,3
75358,12863,48
75378,12803,41
75379,12801,79
75392,12164,2
75393,12190,36
75405,12878,2
75406,13470,15
75618,12833,140
75646,12859,20
75728,12444,17
75749,13329,13
75750,13331,4
75751,13365,96
75754,12842,39
75757,13454,5
75761,12847,29
75774,13324,18
75797,13406,4
75910,12885,43
75958,12822,60
76111,12459,31
76115,12754,270
76175,12589,6
76178,12461,4
76204,12450,9
76230,12725,1
76231,12495,2
76233,12734,24
76242,12768,4
76245,12742,4
76278,12733,1
76312,12759,2
76356,12464,5
76436,12747,1
76553,12751,1
76651,12429,1
76669,12569,372
77572,13752,5
77573,12758,13
77715,12776,82
77724,12766,10
77749,12726,8
77757,12736,20
77767,10988,13
77893,12748,21
77915,13783,75
77920,12760,10
77941,12745,3
77945,13756,19
77954,13755,12
77973,18431,92
77984,18469,6
78003,12752,1
78009,18415,54
78165,18438,100
78186,18437,4
78231,13856,113
78257,18470,13
78284,12860,37
78286,12851,2
78289,12815,8
78292,12843,5
78293,12810,2
78294,12817,122
78310,12824,1
78311,12845,13
78314,12814,13
78315,12853,22
78364,12852,2
78423,12028,36
78452,12835,12
78462,12983,34
78465,12946,104
78482,12942,8
78521,12941,40
78527,12910,9
78536,12955,5
78537,12912,4
78540,12913,24
78556,12989,8
78557,12997,32
78565,13613,3
78566,12916,9
78568,13662,139
78572,12953,179
78606,12917,9
78612,12918,4
78636,12952,5
78639,12981,7
78645,12966,5
78659,12969,30
78767,12967,5
78792,12930,2
78818,13676,48
78819,13684,7
78830,13617,377
78870,13690,3
78871,13625,18
78875,13697,10
78897,13668,156
78945,12980,19
78969,12965,1
79066,13667,20
79085,13120,9
79086,13021,3162
79375,13108,20
79393,13026,75
79453,13165,252
79462,13027,133
79486,13215,252
79493,13088,303
79496,13066,781
79507,13212,232
79513,13302,23
79514,13039,146
79519,13104,92
79520,13210,532
79527,13208,1023
79542,13219,476
79557,13316,384
79576,13224,273
79585,13090,396
79607,13029,27
79617,13030,302
79696,13142,200
79713,13205,658
79727,13204,673
79769,13203,511
79791,13211,347
79854,13032,42
79862,13207,511
79877,13083,18
79900,13206,813
79907,13036,38
79908,13214,203
79916,13144,78
79947,13037,58
79963,13057,91
79964,13437,15
79999,13493,78
80012,13041,285
80261,13042,255
80285,13145,7
80307,13209,400
80378,13078,49
80398,13167,20
80407,13114,78
80672,13135,108
80728,13076,49
81064,13202,56
81181,13116,12
81195,13035,38
81494,13082,22
83353,13034,36
83374,13118,15
83581,14882,77
83588,14886,7
83658,14850,392
83679,14456,442
83850,14847,8
83961,13045,560
84051,14527,28
84116,13160,10
84356,13073,12
84364,13117,6
84420,13166,17
84426,13077,208
84435,13141,7
84436,13110,70
84446,13101,29
84486,13084,20
84535,14433,72
84685,13158,6
84689,13790,217
84694,13905,68
